Date,Cost,Notes
8/9/21,-225.43,PURCHASE AUTHORIZED ON 08/08 TARGET 0000 TIGARD OR S461220756972694 CARD 8748
8/9/21,-52.08,PURCHASE AUTHORIZED ON 08/07 SKAMANIA LODGE OUT STEVENSON WA S301219747904707 CARD 8748
8/9/21,-46.95,PURCHASE AUTHORIZED ON 08/07 CHEVRON 0307265 STEVENSON WA S581219719814413 CARD 8748
8/9/21,-2.28,PURCHASE AUTHORIZED ON 08/06 365 Market C 888 4 TROY MI S461218757586886 CARD 8748
8/9/21,-1.79,PURCHASE AUTHORIZED ON 08/06 365 Market C 888 4 TROY MI S461218681095365 CARD 8748
8/6/21,-7.85,PURCHASE AUTHORIZED ON 08/05 CHIPOTLE ONLINE CHIPOTLE.COM CA S581217718052853 CARD 8748
8/6/21,-1.79,PURCHASE AUTHORIZED ON 08/05 365 Market C 888 4 TROY MI S581217698686321 CARD 8748
8/5/21,-1.79,PURCHASE AUTHORIZED ON 08/04 365 Market C 888 4 TROY MI S581216727914942 CARD 8748
8/4/21,-5.17,PURCHASE AUTHORIZED ON 08/03 365 Market C 888 4 TROY MI S301215756034180 CARD 8748
8/4/21,-1.49,PURCHASE AUTHORIZED ON 08/03 365 Market C 888 4 TROY MI S581215620337614 CARD 8748
8/4/21,-14.95,PURCHASE AUTHORIZED ON 08/02 CHEGG ORDER 855-440-1323 CA S381215149176588 CARD 8748
8/3/21,-57.58,PURCHASE AUTHORIZED ON 08/02 CHEVRON 0206224 BEAVERTON OR S461215007598293 CARD 8748
8/3/21,-2.28,PURCHASE AUTHORIZED ON 08/02 365 Market C 888 4 TROY MI S461214768458347 CARD 8748
8/3/21,-4.57,PURCHASE AUTHORIZED ON 08/02 365 Market C 888 4 TROY MI S301214756689723 CARD 8748
8/3/21,-1.49,PURCHASE AUTHORIZED ON 08/02 365 Market C 888 4 TROY MI S381214616450699 CARD 8748
8/2/21,-9.99,RECURRING PAYMENT AUTHORIZED ON 08/01 Spotify USA 877-7781161 NY S301214163915057 CARD 8748
8/2/21,-25.09,PURCHASE AUTHORIZED ON 07/31 AMZN Mktp US*2P5MV Amzn.com/bill WA S581213019292987 CARD 8748
8/2/21,-19.25,PURCHASE AUTHORIZED ON 07/31 UNIVERSAL CYCLES PORTLAND OR P00381212816820564 CARD 8748
8/2/21,-25,PURCHASE AUTHORIZED ON 07/31 STARBUCKS 800-782- 800-782-7282 WA S381212577393341 CARD 8748
8/2/21,-155.03,PURCHASE AUTHORIZED ON 07/30 NikePOS_US Bend OR S381211735959453 CARD 8748
7/30/21,-119.9,PURCHASE AUTHORIZED ON 07/30 AMERICAN EAGLE BEND OR P00000000232871485 CARD 8748
7/30/21,1085.58,"CINDER LLC DIRECT DEP 210730 723060153915UY7 ECK,DYLAN"
7/26/21,-2.69,PURCHASE AUTHORIZED ON 07/26 SUNRIVER MARKETPLACE SUNRIVER OR P00461208023515150 CARD 8748
7/26/21,-91.02,PURCHASE AUTHORIZED ON 07/25 BLONDIES OF SUNRIVER SUNRIVER OR P00000000776800462 CARD 8748
7/26/21,-12.06,PURCHASE AUTHORIZED ON 07/24 MERCHANT TRADER CA SUNRIVER OR S381205785583947 CARD 8748
7/26/21,-63.7,PURCHASE AUTHORIZED ON 07/24 SHELL OIL 10005362 LA PINE OR S461205764632246 CARD 8748
7/26/21,-30.2,PURCHASE AUTHORIZED ON 07/24 GORDY'S TRUCK STOP LA PINE OR S301205650729058 CARD 8748
7/22/21,-13.78,PURCHASE AUTHORIZED ON 07/20 PANERA BREAD #2021 KEIZER OR S461202054549235 CARD 8748
7/21/21,-1.69,PURCHASE AUTHORIZED ON 07/20 365 Market C 888 4 TROY MI S461201754253012 CARD 8748
7/21/21,-8,PURCHASE AUTHORIZED ON 07/20 CHIPOTLE ONLINE CHIPOTLE.COM CA S581201732641663 CARD 8748
7/21/21,-1.99,PURCHASE AUTHORIZED ON 07/20 365 Market C 888 4 TROY MI S461201627394984 CARD 8748
7/21/21,-14.68,PURCHASE AUTHORIZED ON 07/19 SAFEWAY #2631 BEAVERTON OR S461201043236077 CARD 8748
7/21/21,-31.5,PURCHASE AUTHORIZED ON 07/19 SPORT CLIPS - OR10 BEAVERTON OR S461201036413945 CARD 8748
7/20/21,-4.57,PURCHASE AUTHORIZED ON 07/19 365 Market C 888 4 TROY MI S381200760248325 CARD 8748
7/20/21,-1.79,PURCHASE AUTHORIZED ON 07/19 365 Market C 888 4 TROY MI S381200675369806 CARD 8748
7/19/21,-5.55,PURCHASE AUTHORIZED ON 07/18 aliexpress 408-7855580 CA S381200209748034 CARD 8748
7/19/21,-5.99,PURCHASE AUTHORIZED ON 07/17 ALBERTSONS #3557 ALOHA OR S381199089316785 CARD 8748
7/19/21,-3.99,PURCHASE AUTHORIZED ON 07/17 ALBERTSONS #3557 ALOHA OR S461199087005047 CARD 8748
7/19/21,-17.45,PURCHASE AUTHORIZED ON 07/17 REI #89 HILLSBORO HILLSBORO OR S381199074774671 CARD 8748
7/19/21,-18.02,PURCHASE AUTHORIZED ON 07/16 PLAID PANTRY #170 BEAVERTON OR S301198147057956 CARD 8748
7/19/21,-3.38,PURCHASE AUTHORIZED ON 07/16 365 Market C 888 4 TROY MI S301197771493065 CARD 8748
7/19/21,-7.85,PURCHASE AUTHORIZED ON 07/16 CHIPOTLE ONLINE CHIPOTLE.COM CA S301197748384486 CARD 8748
7/19/21,-2.49,PURCHASE AUTHORIZED ON 07/16 365 Market C 888 4 TROY MI S581197649959618 CARD 8748
7/19/21,-70.43,PURCHASE AUTHORIZED ON 07/15 CHEVRON 0091598 ALOHA OR S581197014390589 CARD 8748
7/19/21,-2.39,PURCHASE AUTHORIZED ON 07/15 365 Market C 888 4 TROY MI S381196761228612 CARD 8748
7/19/21,-3.18,PURCHASE AUTHORIZED ON 07/15 365 Market C 888 4 TROY MI S381196752997965 CARD 8748
7/19/21,-4.49,PURCHASE AUTHORIZED ON 07/15 365 Market C 888 4 TROY MI S461196635643685 CARD 8748
